tool_id,brand,tool_type,material,source_file
AMPC-152H-1.0080,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-1.015,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-26,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-27,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-31,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-33,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152H-XXXX,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-.976,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0031,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0100,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0101,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0102,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0103,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0104,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0105,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0106,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0107,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0108,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0109,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0110,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0111,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-0112,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-1.015,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-1.046,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-1.109,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-1.226,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-1.231,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-1.234,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-24.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-25,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-25.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-26,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-26.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-27,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-27.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-28,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-28.5,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
AMPC-152N-29,Allied Machine,insert,carbide,AMPC_US-EN_Catalog
